Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
St Gertrudislaan 11,Eindhoven,595000.0,238.0,124.0,1953,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,,Achtertuin en voortuin,1.820,6,4.0,1,Noord-Brabant,4798.387096774193
Meerstraat 35,Hillegom,389000.0,109.0,127.0,1920,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,In centrum,Achtertuin,1.865,5,4.0,1,Zuid-Holland,3062.9921259842517
Onyx 7,'s-Gravenzande,450000.0,143.0,132.0,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.830,5,3.0,1,Zuid-Holland,3409.090909090909
Barend Kuisstraat 42,Nijkerk,275000.0,158.0,98.0,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385,5,3.0,1,Gelderland,2806.122448979592
Aart van der Leeuwstraat 8,Gorinchem,540000.0,240.0,154.0,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,Achtertuin en voortuin,2.670,5,4.0,1,Zuid-Holland,3506.4935064935066
Indusstraat 38,Spijkenisse,525000.0,192.0,139.0,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.055,5,3.0,1,Zuid-Holland,3776.978417266187
Baardmosstraat 3,Purmerend,389000.0,126.0,116.0,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,Achtertuin,5.715,4,3.0,1,Noord-Holland,3353.448275862069
Lankforst 4205,Nijmegen,275000.0,165.0,132.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,5,4.0,1,Gelderland,2083.3333333333335
Jadeplantsoen 17,Almere,325000.0,144.0,80.0,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.345,4,3.0,1,Flevoland,4062.5
Lindestraat 10,St. Willebrord,825000.0,1.427,304.0,2012,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,8.960,8,4.0,2,Noord-Brabant,2713.815789473684
Prinsenstraat 7,Rijssen,359000.0,283.0,139.0,1952,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.285,6,4.0,1,Overijssel,2582.73381294964
Hoenderhof 4,Delfzijl,165000.0,153.0,95.0,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,,Achtertuin en voortuin,1.165,4,3.0,1,Groningen,1736.842105263158
De Nachtegaal 22 G,Surhuisterveen,375000.0,6.167,128.0,2022,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",5.580,4,2.0,1,Fryslân,2929.6875
Eline Verelaan 17,Oosterhout (NB),450000.0,236.0,142.0,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,C,,Achtertuin en voortuin,2.670,5,4.0,1,,3169.0140845070423
Watermunt 86,Tegelen,615000.0,178.0,191.0,2001,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en voortuin,1.250,6,5.0,1,Limburg,3219.895287958115
