Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
Viaductstraat 72,Wamel,825000.0,1.705,237.0,1982,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en aan vaarwater,Achtertuin en voortuin,2.140,6,4.0,1,Gelderland,3481.012658227848
Blokwetering 52,Culemborg,950000.0,452.0,203.0,2019,Bestaande bouw,"Villa, vrijstaande woning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",€ 4.036,6,5.0,2,Gelderland,4679.8029556650245
Dr. Alphons Ariënsstraat 6,Amstelveen,500000.0,156.0,102.0,1961,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2,E,Beschutte ligging en in woonwijk,Achtertuin en voortuin,3.090,5,4.0,1,Noord-Holland,4901.9607843137255
Hogesteeg 42,Amersfoort,800000.0,200.0,170.0,2021,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,€ 4.077,6,5.0,1,Utrecht,4705.882352941177
Stuurboord 10,Wijk bij Duurstede,379000.0,131.0,110.0,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.760,5,4.0,1,Utrecht,3445.4545454545455
Haverschmidtstraat 97,Den Haag,375000.0,99.0,118.0,1932,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,11.495,6,4.0,1,,3177.9661016949153
Meeuwenkant 54,Emmeloord,450000.0,267.0,144.0,1950,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.090,4,3.0,1,Flevoland,3125.0
Seminarielaan 2,Hoeven,650000.0,505.0,198.0,1987,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin,4.765,8,5.0,1,Noord-Brabant,3282.8282828282827
Tempelhof 31,Dalfsen,550000.0,431.0,153.0,1973,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3,B,"Aan bosrand, aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",720,7,6.0,1,Overijssel,3594.7712418300653
Landgraaf 44,Eindhoven,419000.0,148.0,91.0,2016,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,5.835,4,3.0,1,Noord-Brabant,4604.395604395604
Enkhuizenstraat 1,Emmeloord,280000.0,168.0,118.0,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.280,6,5.0,1,Flevoland,2372.8813559322034
A.J. Duymaer van Twiststraat 22,Deventer,475000.0,130.0,133.0,1920,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3,E,In woonwijk,Achtertuin en voortuin,1.180,7,6.0,2,Overijssel,3571.4285714285716
Romerswaalestraat 4 a,Zuiddorpe,250000.0,202.0,117.0,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,In woonwijk,Achtertuin en voortuin,,5,4.0,1,Zeeland,2136.7521367521367
Armweide 13,Ruinen (Gem. De Wolden),850000.0,4.639,255.0,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A++,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,675,5,3.0,1,,3333.3333333333335
Strandwal 60,Vlissingen,359500.0,197.0,136.0,2004,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,In woonwijk,Achtertuin en voortuin,1.170,5,4.0,1,Zeeland,2643.3823529411766
Meindert Hobbemastraat 63,Almere,425000.0,204.0,121.0,2000,Bestaande bouw,"Herenhuis, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.260,4,3.0,1,Flevoland,3512.396694214876
Zuiderwouder Dorpsstraat 28,Zuiderwoude,1500000.0,610.0,223.0,1974,Bestaande bouw,"Woonboerderij, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2,D,"Aan vaarwater, aan water, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en tuin rondom,310,7,4.0,2,Noord-Holland,6726.457399103139
Moleneinde 24,Diever,550000.0,972.0,139.0,1900,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,4,G,Aan rustige weg en in bosrijke omgeving,Tuin rondom en zonneterras,2.225,5,3.0,2,Drenthe,3956.834532374101
Drossard de la Courtstraat 44,Gemert,500000.0,400.0,180.0,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",6.130,7,5.0,1,Noord-Brabant,2777.777777777778
Groenendael 114,IJsselmuiden,349000.0,251.0,153.0,1980,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,4,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,3.920,7,5.0,1,Overijssel,2281.045751633987
Eerste Hieronymus van Alphenstraat 96,Gouda,350000.0,93.0,97.0,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,E,In woonwijk,Achtertuin,2.570,5,4.0,1,Zuid-Holland,3608.2474226804125
Rietgors 19,Leusden,459000.0,173.0,127.0,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.130,5,4.0,1,Utrecht,3614.1732283464567
De Vissert 5,Well (LI),1000000.0,25.445,260.0,1968,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2,D,"Aan bosrand, aan rustige weg, beschutte ligging, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,540,9,6.0,2,,3846.153846153846
Benedenberg 17,Bergambacht,975000.0,4.77,156.0,1969,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2,D,Landelijk gelegen en open ligging,Tuin rondom,420,6,4.0,2,Zuid-Holland,6250.0
Leliestraat 40,Deventer,567500.0,613.0,126.0,1903,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,F,Aan rustige weg en in woonwijk,Tuin rondom en zonneterras,2.305,5,4.0,1,Overijssel,4503.9682539682535
Heiblomsedijk 15,Berlicum,800000.0,1.177,231.0,1995,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,Vrij uitzicht,Tuin rondom,230,4,3.0,1,Noord-Brabant,3463.2034632034633
Mr. van Zuylen van Nyeveltstraat 2,Waalwijk,350000.0,145.0,134.0,1966,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,D,Aan rustige weg en in woonwijk,Achtertuin,3.600,6,5.0,1,Noord-Brabant,2611.9402985074626
Ladderbeekstraat 106,Velsen-Noord,325000.0,129.0,103.0,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,C,Aan rustige weg en in woonwijk,Achtertuin,1.190,5,4.0,1,Noord-Holland,3155.339805825243
Keizerstraat 9,Wormer,289000.0,126.0,66.0,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.505,5,3.0,1,Noord-Holland,4378.787878787879
Siciliëstraat 24,Almere,335000.0,177.0,88.0,2002,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.005,4,3.0,1,Flevoland,3806.818181818182
Heeskesacker 1124,Nijmegen,309500.0,210.0,104.0,1982,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,5.465,5,3.0,1,Gelderland,2975.9615384615386
Baron van Nagellstraat 35,Voorthuizen,500000.0,390.0,113.0,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2,A,,"Achtertuin, voortuin en zijtuin",795,4,3.0,2,Gelderland,4424.778761061947
Verheullaan 60,Bergschenhoek,435000.0,116.0,108.0,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk,Achtertuin en voortuin,4.155,5,4.0,1,Zuid-Holland,4027.777777777778
Bennebroekerweg 79,Rijsenhout,695000.0,738.0,219.0,1940,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3,E,In centrum en in woonwijk,Tuin rondom,1.325,7,5.0,2,Noord-Holland,3173.51598173516
Rozendael 157,Borger,300000.0,320.0,140.0,1971,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,€ 2.350,5,4.0,1,Drenthe,2142.8571428571427
Gitaar 18,Ewijk,425000.0,283.0,170.0,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,850,5,4.0,1,Gelderland,2500.0
Ligtenbergerdijk 18,Rijssen,625000.0,425.0,170.0,2004,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, in woonwijk en landelijk gelegen",Achtertuin en voortuin,6.970,8,3.0,1,Overijssel,3676.470588235294
Dr. Schaepmanstraat 153,Assen,375000.0,117.0,144.0,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,1.810,6,4.0,1,Drenthe,2604.1666666666665
Blaarthemseweg 18,Eindhoven,500000.0,272.0,148.0,1931,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,F,In woonwijk,Achtertuin en voortuin,2.450,6,4.0,1,Noord-Brabant,3378.3783783783783
Kamperfoeliestraat 9,Sint-Michielsgestel,369000.0,182.0,113.0,1967,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.075,5,4.0,1,Noord-Brabant,3265.4867256637167
Gomarusstraat 33,Wagenberg,349000.0,186.0,89.0,1970,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,2,C,Aan rustige weg en in woonwijk,Achtertuin,€ 3.125,3,2.0,1,Noord-Brabant,3921.3483146067415
Krekelzanger 89,Boxmeer,625000.0,512.0,170.0,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in woonwijk,Tuin rondom,2.650,6,3.0,1,Noord-Brabant,3676.470588235294
Dijlehof 18,Amsterdam,425000.0,90.0,84.0,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in woonwijk,"Patio/atrium, voortuin en zonneterras",14.040,3,2.0,1,Noord-Holland,5059.523809523809
Slagenland 7,'s Gravenmoer,499000.0,230.0,146.0,2011,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.260,6,4.0,1,Noord-Brabant,3417.8082191780823
Sint Jozefhof 11,Made,395000.0,100.0,127.0,2011,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.491,4,3.0,1,Noord-Brabant,3110.236220472441
Singel 10,Nieuwerkerk aan den IJssel,395000.0,182.0,128.0,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3,G,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.630,6,5.0,1,Zuid-Holland,3085.9375
Seisstraat 16,Middelburg,749000.0,164.0,166.0,1650,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,Niet verplicht,In centrum,Achtertuin,1.040,5,4.0,1,Zeeland,4512.048192771084
Sambeekerf 10,Tilburg,465000.0,298.0,111.0,2006,Bestaande bouw,"Bungalow, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.235,5,3.0,1,Noord-Brabant,4189.189189189189
Limbahout 6,Zoetermeer,995000.0,484.0,205.0,2002,Bestaande bouw,"Villa, 2-onder-1-kapwoning",Schilddak bedekt met leisteen,8 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3,A,"Aan park, aan rustige weg, aan water, beschutte ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",7.950,8,4.0,2,Zuid-Holland,4853.658536585366
Kruidenlaan 117,Nijverdal,370000.0,249.0,97.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,In woonwijk en open ligging,Achtertuin en voortuin,2.515,4,3.0,1,Overijssel,3814.4329896907216
Vogelakker 30,Almere,725000.0,932.0,113.0,2019,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,"Aan rustige weg, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,1.665,4,3.0,1,Flevoland,6415.929203539823
Luitstraat 22,Almere,399000.0,129.0,103.0,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,10.990,5,4.0,1,Flevoland,3873.78640776699
Duikerlaan 8,Wageningen,389000.0,116.0,112.0,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.235,5,4.0,1,Gelderland,3473.214285714286
Beneluxlaan 38,Geleen,250000.0,199.0,95.0,1969,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.030,5,3.0,1,Limburg,2631.5789473684213
Insulindestraat 1,Doetinchem,475000.0,365.0,168.0,1975,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,C,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin",2.475,5,4.0,1,Gelderland,2827.3809523809523
Batjanstraat 7,Enschede,198000.0,142.0,92.0,1938,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,2.810,4,2.0,1,Overijssel,2152.1739130434785
J.J. Allanstraat 357 A,Westzaan,885000.0,272.0,167.0,2020,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en zijtuin,650,7,5.0,1,Noord-Holland,5299.4011976047905
T.W.S. Mansholtstraat 49,Groningen,895000.0,599.0,264.0,1989,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",710,8,4.0,1,Groningen,3390.151515151515
Rijkevoortsedijk 14,Rijkevoort,475000.0,2.165,156.0,1977,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met leisteen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in centrum,Tuin rondom,1.340,6,5.0,1,Noord-Brabant,3044.871794871795
Ledeackerstraat 6,Tilburg,325000.0,143.0,103.0,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.010,5,4.0,1,Noord-Brabant,3155.339805825243
Heulweg 3 a,Barendrecht,1375000.0,432.0,236.0,2022,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met kunststof en pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,2,A+,"Aan rustige weg, in centrum, in woonwijk, open ligging en vrij uitzicht",Tuin rondom,675,8,6.0,2,Zuid-Holland,5826.271186440678
De Tol 5,Woudenberg,650000.0,242.0,151.0,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Tentdak,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,B,,Achtertuin en voortuin,1.475,6,4.0,1,Utrecht,4304.635761589404
Torenberglaan 44,Eindhoven,560000.0,286.0,147.0,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.250,6,5.0,1,Noord-Brabant,3809.5238095238096
Rhijnauwensingel 469,Rotterdam,318800.0,103.0,109.0,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk,Achtertuin,12.275,5,5.0,1,Zuid-Holland,2924.770642201835
Nijhofflaan 5,Blaricum,1080000.0,262.0,180.0,2019,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met overig,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.540,5,4.0,1,Noord-Holland,6000.0
Het Steen 5,Grootegast,315000.0,495.0,121.0,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin, zijtuin en zonneterras",3.340,4,3.0,1,Groningen,2603.305785123967
Schuttevaer 37 a,Hoogeveen,259000.0,142.0,118.0,1986,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.395,6,5.0,1,Drenthe,2194.915254237288
Dorpsweg Ransdorp 91,Amsterdam,575000.0,215.0,75.0,1932,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,"Aan rustige weg, aan water en in centrum","Achtertuin, voortuin en zijtuin",2.385,4,3.0,1,Noord-Holland,7666.666666666667
Broersven 4,Heemskerk,550000.0,224.0,109.0,1973,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1,A,Beschutte ligging en in woonwijk,Patio/atrium en voortuin,1.505,3,2.0,1,Noord-Holland,5045.871559633028
Tuinkersstraat 3,Voorhout,645000.0,217.0,154.0,1991,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.800,5,4.0,1,Zuid-Holland,4188.311688311688
Zevenhuizen 34,Hattem,330000.0,207.0,90.0,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,D,In woonwijk,Achtertuin en voortuin,2.940,4,3.0,1,Gelderland,3666.6666666666665
IJsselmondselaan 170,Rotterdam,245000.0,199.0,83.0,1910,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,2,G,"Aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.635,5,4.0,1,Zuid-Holland,2951.8072289156626
van Borselelaan 15,Veere,289000.0,150.0,108.0,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk,Achtertuin en voortuin,865,5,4.0,1,Zeeland,2675.925925925926
Benthuizenstraat 15,Zoetermeer,1650000.0,690.0,305.0,2007,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met riet,11 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,16.005,11,5.0,2,Zuid-Holland,5409.836065573771
Roeklaan 3,Eindhoven,849000.0,331.0,177.0,1927,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2,C,"Aan rustige weg, in centrum en in woonwijk",Tuin rondom,2.255,6,5.0,1,Noord-Brabant,4796.610169491525
Repelsestraat 5,Neerijnen,850000.0,5.872,151.0,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2,D,"Aan rustige weg, beschutte ligging, landelijk gelegen en vrij uitzicht",Tuin rondom,320,5,4.0,2,Gelderland,5629.139072847682
Dorpsstraat 40,Bergen (NH),1175000.0,880.0,145.0,1975,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2,C,In centrum,Achtertuin en zijtuin,985,5,4.0,2,Noord-Holland,8103.448275862069
Stroomrug 19,Cuijk,1050000.0,578.0,156.0,2006,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Tuin rondom,6.825,4,3.0,1,Noord-Brabant,6730.7692307692305
Claude Debussystraat 59,Zaandijk,659000.0,187.0,126.0,1994,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2,B,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",3.165,5,4.0,1,Noord-Holland,5230.158730158731
Horstlaan 2 a,Almelo,285000.0,273.0,117.0,1969,Bestaande bouw,"Bungalow, 2-onder-1-kapwoning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers,2,E,In woonwijk,Achtertuin en voortuin,1.085,5,3.0,2,Overijssel,2435.897435897436
